"Sender (ID)
",Receiver (ID),Timestamp,Message
1,2,1/31/2020 16:42:53,"Hey, how's it going?"
1,3,1/31/2020 16:43:36,"Hey, how's it going?"
1,4,1/31/2020 16:44:19,"Hey, how's it going?"
1,6,1/31/2020 16:45:03,"Hey, how's it going?"
2,1,1/31/2020 16:45:46,Going well!
2,1,1/31/2020 16:46:29,How are you?
3,1,1/31/2020 16:47:12,"I'm loving this Kunekt app, thanks for recommending!
"
3,1,1/31/2020 16:47:55,How do I share it with others?
1,2,1/31/2020 16:48:39,Doing great. Really enjoying working on this new project
1,3,1/31/2020 16:49:22,You can send them the URL or let people scan your QR code
1,6,1/31/2020 16:50:05,Got plans this weekend?
2,1,1/31/2020 16:50:48,What are you working on?
3,1,1/31/2020 16:51:31,"Ah right, let me try. App.kunekt.co right?"
6,1,1/31/2020 16:52:15,"ah hey, yeah we're going to the beach!
"
1,2,1/31/2020 16:52:58,"Working on Kunekt, just trying to make the app even better."
1,2,1/31/2020 16:53:41,Got any thoughts?
1,3,1/31/2020 16:54:24,"Yup, app.kunekt.co"
2,1,1/31/2020 16:55:07,"Didn't know you made this! Awesome job, I love it
"
2,1,1/31/2020 16:55:51,"The UX is great, I shared it with friends already
"
2,1,1/31/2020 16:56:34,"Feels like you just need to grow the userbase, the platform is easy & high value
"
3,1,1/31/2020 16:57:17,"Sweet, I'll share it now"
3,1,1/31/2020 16:58:00,"This app is awesome :D
"
